isco08_code,occupation_title,task_score,task_exposure,task_description
1420,Retail and wholesale trade managers,0.6,Medium,Maintaining records of stock levels and financial transactions;
1420,Retail and wholesale trade managers,0.485,Low,Undertaking budgeting for the establishment;
1420,Retail and wholesale trade managers,0.28,Low,"Controlling selection, training and supervision of staff;"
1420,Retail and wholesale trade managers,0.26,Low,Ensuring compliance with occupational health and safety regulations.
1431,"Sports, recreation and cultural centre managers",0.3475,Low,"Planning and organizing the range and mix of entertainment, attractions, cultural activities, and sports and fitness programmes to be offered by the centre;"
1431,"Sports, recreation and cultural centre managers",0.0975,Very Low,Ensuring that facilities are kept clean and in good condition;
1431,"Sports, recreation and cultural centre managers",0.35,Low,Keeping abreast of new trends and developments in the creative arts and arranging theatrical productions and performances by bands and orchestras;
1431,"Sports, recreation and cultural centre managers",0.38,Low,"Advising on the facilities available and promoting publicity in relation to events, shows and activities;"
1431,"Sports, recreation and cultural centre managers",0.3525,Low,Checking and keeping custody of all cash receipts and making regular stock checks;
1431,"Sports, recreation and cultural centre managers",0.435,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1431,"Sports, recreation and cultural centre managers",0.3625,Low,Planning and directing daily operations;
1431,"Sports, recreation and cultural centre managers",0.335,Low,"Controlling the selection, supervision and performance of staff;"
1431,"Sports, recreation and cultural centre managers",0.2425,Very Low,Ensuring compliance with health and safety regulations.
2111,Physicists and astronomers,0.5125,Medium,"Conducting research and improving or developing concepts, theories, instrumentation, software and operational methods related to physics and astronomy;"
2111,Physicists and astronomers,0.29,Low,"Conducting experiments, tests and analyses on the structure and properties of matter in fields such as mechanics, thermodynamics, electronics, communications, power generation and distribution, aerodynamics, optics and lasers, remote sensing, medicine, sonics, magnetism, and nuclear physics;"
2111,Physicists and astronomers,0.56,Medium,"Evaluating results of investigations and experiments and expressing conclusions, mainly using mathematical techniques and models;"
2111,Physicists and astronomers,0.455,Low,"Applying principles, techniques and processes to develop or improve industrial, medical, military and other practical applications of the principles and techniques of physics or astronomy;"
